RepName	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53
BLK	0.060351637	0.013610623	0.050538092	0.016242492	0.069056849	0	0.064533335	0	0.030521452	0	0	1.442659008	0.010641246	0.024326284	0.327663588	0.023358342	0.012428072	0.180539755	0	0	0.031605764	0	0.098245973	0.203004205	0.044814615	0.044523213	0.548930921	0.049603758	0.017462602	0.010770308	0	0.100886528	0.021880688	0.038947861	0.047793697	0.012761883	0.010436691	0.245275781	0.110451246	0.019700491	0.042647175	0.270321629	0.038880459	0.124599769	0.317786599	0	0.147316204	0.116343095	0.032087259	0.127831535	0.723436917	0.384916012	0.208534512
CR2	0.419777005	0.112724375	1.623509059	0.085604749	1.069592545	0.03560403	0.12956867	0.956997281	0.06894037	0.072033075	2.782299772	1.668659108	0.064095809	0.161177939	2.515408403	0.117245966	0.243290005	7.564694051	0.114537438	2.849482262	0.126914772	0.126815874	0.29588429	0.042457038	0.04498892	0.335222882	0.456404327	0.021341438	0.058435073	0.054060992	2.722064765	0.468415013	1.076323798	5.288186676	0.009595918	0.839154518	0.267170754	1.506105432	0.388082946	0.158216919	0.503053326	0.674555827	1.587288427	0.808472309	0.341809946	0.13030137	1.922559399	0.15367843	0.752956933	2.090688891	0.363125347	0.375048035	1.054204618
HLA-DOB	0.938649964	0.285884761	0.727432424	1.043135874	0.542439176	0.018721818	0.897984039	0.208163586	1.839331187	1.164321186	0.020376441	0.49203629	3.613650454	0.612795775	1.543794987	0.565972976	0.651927043	1.149643576	1.225044548	1.21268132	0.247929138	0.164846688	0.64284013	0.266656504	0.879688973	3.363761395	1.916909001	0.101823457	0.625613131	0.763559964	0.429287947	6.876759121	1.876934348	0.611047378	0.777878078	2.165904939	1.423183671	1.083122795	0.577617896	3.613662155	0.225125667	1.457488132	4.965471565	0.390796013	0.654006598	10.98946547	0.662833134	3.774553532	0.326402557	0.627906955	1.574262668	10.3565723	0.585325146
TNFRSF17	0.145795284	0.180840253	0	0.11771406	0	0.034271071	0.062358911	0	0	0	0.037299928	0	0	0.1175331	0.884682194	0.084642347	0.060046567	0	0.025056667	0	0	1.342748968	0.11866952	0.449542645	0.405980676	1.236911886	0.292878179	0	0.295298619	0.70249996	0.141172142	2.010673472	2.537211261	0.329310879	0.415649771	0	0.050425157	1.422067899	0.088941365	0.095183454	0	1.567279532	0.500938639	1.835387689	0.548355201	0	0.345713085	2.011779345	0.213166886	0.180139611	1.350458774	1.093960083	0.323852189
FAS	4.055241721	8.872808323	5.598366691	11.69522322	8.638533236	4.27174952	5.923202236	11.6207768	26.8200724	9.719114451	3.271467181	16.51599087	16.76027943	24.78313304	28.09543362	34.91104791	16.99869274	8.22345653	22.04941812	13.47063446	15.116009	30.68601999	22.30627437	10.63412549	17.49341475	10.21642515	10.74456928	10.46018062	19.65639889	11.05021999	9.586899417	10.35528406	34.30883999	15.99088288	5.949847389	14.19309863	7.597402411	10.71005332	15.53683503	9.855105113	4.892971974	14.57184092	7.8011973	21.51607417	18.49946757	7.906399178	4.447939748	18.35749182	18.378878	20.47287645	27.72480784	14.4121102	20.41587371
FASLG	0.6090285	0.046223333	0.114422348	0.573679419	0	0.019271544	0.420793098	0.04177403	1.306047612	0	0	0.284025845	0.043366763	0.502299352	0.405839411	0.190386663	0.025324348	0.081751335	0.140900374	0.060484366	0.171739242	0.480495161	0.367020829	0.666446122	1.171908393	1.693510095	2.03121699	0.173273561	0.790734991	0.409665515	0.90498773	2.021475377	0.178342758	0.185180356	2.051639083	0.884154536	0.34026505	0.322088093	0.500141192	0.856387423	0.260703006	1.196081748	1.244136386	0.866953764	1.757622723	0.453399265	0.240145817	1.014822536	0.141663916	0.028942098	1.652810144	2.153071022	0.323752511
GNLY	0.457312641	0.060161539	0.040615996	0.28717961	0.015856852	0.068407349	0.26969054	0.197711241	4.795459371	0.192221987	0.012408858	0.235245267	0.051312361	0.414466935	0.449216312	0.131406942	0.039952321	0.076001908	0	0.214698685	0.609615205	0.101523361	0.927749829	0.774955743	1.431644082	0.393602132	0.887732649	0.330310811	0.54265517	0.121180966	0.253610131	0.608096771	0.281357962	0.845134114	2.488994205	2.584601206	0.27679296	0.335105725	0.473421096	1.994921662	0.445565828	0.782098685	0.458290717	0.180735456	0.602004505	3.69568533	0.372094645	2.106245741	0.122491088	0.059928451	0.554977708	0.909840613	0.059854687
GZMA	3.373956713	0.111740781	0.875918395	1.711298808	0.215978819	0	1.695382906	0.196359699	3.466296821	0.209453315	0.126761475	0.22886904	0.058241821	3.514974259	1.345029774	1.118645595	0.646204264	0.164688794	0.652843639	0.792000924	0.95141815	2.212484095	3.293542735	1.157380743	4.966919835	4.630016637	9.676801805	0.504199418	3.472615087	0.736852534	0.863576461	8.765755677	8.802190433	0.426339977	3.714509024	5.657729952	0.856833727	2.259785632	1.813570015	6.685150428	1.517211317	5.495390472	2.600902116	4.174933434	6.273954625	2.689387443	0.875403996	5.965535947	1.22934312	0.670497323	4.679438952	5.45270729	3.261011624
GZMB	1.348425554	0.153739265	0	1.34072505	0.342872115	0.147916954	0.15700215	0.13359696	0.795591083	0.38238961	0.134158141	2.616016927	0.036984175	0.321279352	0.267955515	0.121774602	0.237569071	0.089639259	0	0.851110626	0.714008028	0	1.536564232	0.323377593	1.36285977	0.348170896	2.095108745	0	0.728305595	0	0	4.908905359	0.342213337	0.067682604	2.325530849	10.26807866	0.181366175	0.795636855	0.383878746	2.191040821	0.444667069	1.181106002	0.180174599	0.168996151	2.879544906	2.158903855	1.945617954	2.319727434	0.041820319	0.351725462	1.314314424	3.226445703	0.232962418
KLRB1	0.200246567	0.124190025	0.083842627	0.363774676	0.130931679	0.070605826	0.471067149	0.076524484	1.11397106	0.01587197	0.128076547	0	0.105922878	3.083295581	1.774672732	0.736277696	0.494835713	0.28525258	0.705502851	0.092332782	0.524339194	2.179551314	2.444849043	0.645502094	1.394013485	1.920462709	2.860527213	0.37619459	0.965681096	0.750452897	0.794976817	0.418426533	6.679205783	1.809204559	1.68094117	1.206800916	1.108125242	3.458753608	0.977271829	1.045858795	0.28300642	1.896358748	1.261384734	1.159597445	0.489549856	0.584473304	0.502760332	1.259664035	1.397358892	1.007343628	3.136836354	4.657842222	0.988452779
KLRD1	0.025496591	0.004791702	0	0.017154803	0.008335502	0.005993304	0.02908077	0.009382683	0.030086734	0.044460111	0.010871648	0.088329885	0.013486734	0.220614191	0.09228476	0.052630052	0.192516632	0.007264013	0.007303158	0.078375747	0.0044508	0.106735966	0.10030546	0.142937718	0.118329424	0.031349333	0.140376241	0.011974836	0.07131465	0.004550102	0.238651619	0.149174394	0.289641395	0.008227098	0.043074714	0.010782955	0.064667687	0.079442758	0.051846706	0.160907706	0.030028392	0.080485247	0.034068162	0.027389567	0.054341081	0.044390064	0.08772351	0.187981588	0.15476224	0.060005154	0.226905944	0.197688112	0.073415837
KLRK1	0.06250422	0.032890848	0.040709396	0.372883649	0	0.011427443	0.16634506	0.057798387	0.725275538	0.061652487	0.037312182	0	0.008571727	0.71326838	0.605507722	0.075262358	0.135149159	0.041550918	0.15874436	0.089663503	0.20367236	0.732649135	0.455049268	0.299793551	0.758079554	0.842810968	1.671039134	0.079913544	0.468881951	0.19086514	0.442484693	1.015825257	1.956409512	0.047059866	0.446585305	0	0.31105729	0.368805388	0.474509778	0.825194271	0.412237341	0.423055634	0.264471136	0.567933105	0.731380459	0.119489805	0.081370978	1.233112895	0.187390016	0.128713421	2.569363427	2.206877589	0.635918693
PRF1	1.099833765	0.410869995	1.000672961	0.996455599	0.51876088	0.069072949	0.465029571	0.219598456	2.080501226	0.00931643	0	0.122160441	0.031086977	1.307614079	1.088609187	0.147849585	0.30255791	0.125576841	0.303008548	0.314342152	0.153886682	0	0.789284268	1.153152029	1.767418654	2.124453936	3.062962694	0.296721989	2.397688749	0.933432382	0.068287398	5.820848159	0	0.132744457	2.550444751	0.012427377	0.315057103	1.050925873	0.501928829	2.033516254	0.664469403	2.120931297	0.799295213	1.621730485	2.652488622	2.437606255	0.983690457	2.397053935	0.257781242	0.404562946	1.424960209	2.910420412	0.652720357
CCL13	0.642172424	0.020275363	0	0.072587953	0.058784028	0	0.346080593	0.259586091	0.045466951	0	0	0.062292424	0.063407863	0	0.57424853	0.139185066	0.074055	0	0.092706625	0.265308095	0.376657754	0	0.951302744	0.453614499	1.668976858	0.464274867	1.063546755	0.042224757	1.05788428	0	0	1.427734375	2.346843344	0.058019535	1.480896107	0.152088146	0	0.170510875	0.767835232	1.056501647	0.190590897	1.012479082	0.102967339	0.362171277	0.270513015	2.209762855	0.376204825	0.291895652	0.023899745	0	0.930726805	0.74204522	0.310648009
CCL22	0	0.005720474	0	0.027306541	0	0	0.065095264	0	0	0	0	0.052725401	0	0.024538107	0.032403602	0	0.010446909	0.021679978	0.052312343	0.028070179	0.239107301	0	0.041292274	0.071101347	0.103594429	0.130990132	0.107571624	0.017869888	0.156574745	0.018106819	0.019648917	0.169608342	0.735707185	0.032739169	0.016069955	0.042910025	0.061410823	0.178686111	0.030948058	0.132480228	0.071697547	0.064922732	0	0.035763948	0.114483482	0.171451689	0.035380707	0.061766401	0.020229163	0.035817955	0.221132212	0.266458224	0.187812805
CD209	2.126484003	0.57083827	0.1778031	0.654152199	1.326209765	0.48071893	1.132815885	0.569416436	0.881650943	0.494260473	0.454587595	8.432170102	0.496546487	2.572947065	5.235718128	3.419091856	2.941043843	0.764120188	2.310475642	3.314307584	2.212202979	3.635010116	1.773724872	1.503598581	1.605711519	1.558171244	1.466676355	0.991985248	2.399273406	5.055602994	0.792086376	2.662042118	5.287353694	2.585470891	0.977027026	0.694750641	0.324667641	0.735760662	1.390741503	1.160034873	0.864711563	2.007921557	0.81593568	1.316788793	1.75271168	4.274657081	1.725547724	3.18383827	0.793196467	3.21916912	2.164633989	1.018802993	2.606445177
LAMP3	14.70047879	1.371080544	1.451455792	1.794037958	2.505240174	1.148782595	3.068560941	0.335341901	12.78286808	5.367317284	0.030007472	15.3055037	2.798807999	2.332341112	1.760568618	1.498068902	4.762259902	8.638133942	0.456911806	4.333800725	1.71988797	3.142487316	0.795571749	1.621959795	5.269275217	4.182241268	3.289925128	0.408564967	4.532593249	2.142007928	0.386144038	8.071508629	9.355338086	0.82001454	4.012640064	8.110326406	3.664516744	1.483016648	1.645708977	15.39142862	0.442043317	1.731184811	5.278191481	1.783676793	2.191030352	9.105186267	6.151430955	4.966448356	0.831471173	0.72460385	1.374017559	11.30904719	2.142187398
NPR1	11.27881974	18.4489626	54.2272506	75.55149245	4.073939723	13.30433147	16.75023704	0.931360382	16.86588832	17.68408586	1.200308982	12.43361566	19.73786134	12.80650337	13.27058551	16.79377995	8.950706529	5.504170886	11.51961563	1.818836469	32.89567726	5.717073198	17.12368584	55.06724089	27.87078111	31.5365507	12.54972284	26.39656574	66.82721452	25.45419581	53.73364645	14.54919416	17.73574674	52.3978031	65.54317899	11.89252827	65.2326849	24.4436666	44.06216634	8.272041887	6.166133827	26.46419431	11.91044334	18.64423285	9.632259964	9.071138992	3.101167596	14.78395186	10.70064739	12.80693686	13.56322034	17.83721577	36.4200736
PPFIBP2	5.628069892	5.770506786	3.005256255	4.783254791	6.891575567	4.376538152	4.085065478	1.073326159	3.314280912	7.011300108	6.482461116	2.38023802	3.330766521	5.526574246	5.008182572	4.999843562	4.592811782	2.581244777	3.991348142	2.698721389	5.116405551	3.843400941	5.46324803	5.328977759	5.679283011	4.433676082	7.00036958	2.629372263	6.880056061	3.365773951	8.696808955	2.656743768	3.44354692	3.167096975	4.778487906	3.323991185	3.97440284	2.97230531	5.223081643	2.356130437	3.13179092	6.288176034	4.889966201	4.425381917	4.077804285	6.383779402	1.392221453	3.532976153	4.905329937	5.045471536	7.145657547	2.481335889	5.325697841
CD19	0.179287342	1.538221178	0.441698951	0.264335777	0	0.269353937	0.046677209	0.041704715	0.055190709	0.060549926	0	0.018903638	3.117225941	0.299120005	0.827758505	0.464617404	0.106747607	0.03109169	0.018755544	0	0.028575713	1.142137807	0.066620333	1.300090227	0.101295572	1.086878614	1.211836261	0.160172268	0.210512782	0.058426537	0.792531659	0.684108868	0.059348945	0.158462646	0.138277456	0.069230389	0.028308371	0.753987881	0.233011946	0.106870803	0.30846865	0.977623356	0.406212226	0.500075469	1.744444874	0.117352911	0.525160851	0.830441516	0.029011047	0.375622971	1.456816483	0.757442311	0.296280702
CD3E	1.694793281	0.416578853	0.174288892	1.981526916	0.357230789	0.012231061	1.390961128	0.362340261	4.289272856	0.008248513	0.252928663	0.234341296	0.091745203	4.370834462	4.486770952	1.157979125	0.626831052	0.348371233	1.234067301	0.45105408	0.735734173	0.261390526	3.959927612	2.785787776	5.95019592	5.258936656	13.547704	0.109971441	2.820427154	1.281439411	2.186629401	8.959035847	6.225378807	0.856277761	5.999607927	11.99311824	2.051580501	4.877871791	2.856819152	3.295107946	2.132598661	4.701195666	2.771103075	4.496157741	2.915980972	1.630632495	2.583766981	7.771157243	1.23798829	0.642903322	12.67291094	15.98791505	3.159191008
CD4	2.505106593	0.629822079	1.522819077	1.879025005	1.528771731	0.41983378	2.00008306	0.794229092	4.237076831	0.64862962	0.274163068	0.821256649	0.790156314	1.685904891	1.664545747	0.58443525	0.748967931	1.133342241	0.775755963	0.748671557	1.258460091	0.924417318	2.273131974	4.787965019	2.839370228	3.282075016	4.863557331	0.632945128	2.195569318	0.990981767	1.018781447	5.347008119	3.072860988	4.055141536	2.983115358	0.7553511	0.960285541	1.271372148	2.694199251	2.756080054	2.765150343	1.961535571	0.874013525	1.609051401	1.355726108	2.304721558	1.408686324	2.589709179	0.880530161	0.498674828	4.494207704	4.178809888	2.196048381
CD68	17.70977944	3.054971263	2.788138812	11.71045378	6.419253954	1.624271306	9.59802534	20.06772522	26.01878323	3.383789476	1.995365098	20.90485371	6.248649963	14.22949273	16.15776868	8.4998447	10.10152318	8.96613612	7.889606653	7.419611342	8.168928296	8.878576949	9.383149026	8.36130803	17.26009108	9.488734488	25.42542765	4.996557242	13.1576036	4.395361133	6.505340214	37.51206445	22.96867287	4.039881728	15.06188626	14.32233688	11.23958804	14.74577283	11.18531208	22.33268751	42.47134134	20.54020182	7.678897591	15.16517292	13.40630863	14.25143798	28.80020996	28.3628143	5.056050115	8.525608854	18.30304825	22.53593175	18.84421474
CD8A	0.988952601	0.440813385	0.045466668	1.950779609	0.306197819	0.516895266	0.80119361	0.401148708	1.307719091	0.277580398	1.750243197	1.763437846	0.387723205	4.464575967	2.607529205	1.568197061	0.54507048	0.411857943	0.440904953	0.570806643	0.319884423	5.864239626	2.535605823	1.038725331	4.29381727	4.971873151	7.021406439	0.392072093	2.223001071	0.770317075	1.727047305	3.914141875	9.434032548	0.735829482	2.850745381	2.557447551	1.633752893	3.309940647	2.608400095	1.488780282	2.373994762	4.60681275	1.638176643	4.638328737	3.04786806	0.950854754	1.709678737	7.949276868	1.834880871	0.589394599	5.258499959	10.25120974	2.593015737
MS4A1	0.052069744	0.013700019	0	0.134880694	0.009930061	0.028559226	0.116922959	0.012897189	0.030721922	0	0.054395729	0	0.123178103	0.190991287	2.881037407	0.229239688	0.034401679	0.116823578	0.067861808	0.061623414	0	0.699348421	0.51917915	0.263936022	0.456728261	0.291301712	2.664377876	0.003566397	0.164054788	0.130092585	0.005882173	0.888555196	0.914012737	0.049004595	0.933287681	0	0.047273585	2.098537698	0.111176706	0.198298863	0.300491012	2.612132553	0.900124118	0.82898344	1.565097136	0.186641505	0.923596231	1.972332691	0.222048839	1.265266313	4.526353858	1.481404279	0.592229697
PTPRC	12.24994593	3.115126365	4.484957932	14.2477485	1.954794378	1.825391857	11.56648927	4.815799171	18.62433157	2.125533201	2.492378007	15.14569171	3.334487292	24.52541647	25.6553324	10.87217181	8.469918815	5.6639819	10.56491606	6.082147722	6.978028821	18.36065487	19.18909445	16.40013055	32.55471614	19.45546973	46.45774515	3.284591254	14.87243788	9.821233344	9.042621308	36.74192312	58.81843208	8.232468631	17.52689916	21.70690675	11.60839883	19.72277356	13.58694759	20.57385925	16.26553195	24.47177812	12.77904904	24.35299484	23.22711789	8.875403392	16.05160057	34.19069613	7.733226273	7.965297918	55.51525187	55.18467099	23.28663772
CD244	0.029270081	0.057759167	0.457530965	0.103391979	0	0	0	0	0.323808417	0.024360095	0	0.017745471	0	0.2890525	0.482585425	0.128863016	0.084385276	0.058373598	0.052819351	0.170053397	0.026824968	0	0.062538714	0.129222822	0.256741674	0.3778848	0.743149796	0.186445177	0.306303748	0.06398808	0.178554173	0.021406522	0.854263253	0.165282373	0.356965478	0	0.150586031	0.222052831	0.281232041	0.702262143	0.253373522	0.563746849	0.124663901	0.185711502	0.423841178	0.236063711	0.114315568	0.51970864	0.183827009	0.198908051	0.795418651	0.518864245	0.214917485
CTLA4	0.118543829	0.038987438	0	0.418737516	0.135642772	0.016254737	0.488016762	0	0.524569635	0.065772256	0.442283029	0	0.01219268	0.256430861	0.607321489	0.240874715	0.213600229	0.18716035	0.261455787	0.012754005	0.217282242	0.31843229	0.731702952	1.182388821	0.847247523	0.637680599	1.250206618	0.081193867	0.453527163	0.629368474	0.3615722	2.051815119	1.027901544	0.133878722	1.379996086	0.848104621	0.107624722	0.627646206	0.337478449	1.489798974	0.171027128	0.654864072	0.702884405	0.36910161	1.248404925	0.297440276	0.598013315	1.79611306	0.137870256	0.231908704	1.054976316	3.787708989	0.358406511
EOMES	0.190817952	0.045641749	0.045193072	0.092594644	0.026465676	0.076116273	0.155811996	0.051560534	0.286581077	0.006416513	0.113909655	0.210339162	0.014273707	0.378510589	0.400733117	0.039164835	0.100022864	0.040361368	0.055651023	0.014930837	0.021197301	0.338892531	0.560077289	0.170188153	0.879143603	0.582284714	1.883694286	0.080794117	0.261563283	0.440628141	0.039193032	0.422890055	1.11529265	0.182850406	0.384650363	0.025677355	0.160992245	0.537370433	0.222231774	0.34353	0.557749456	0.642315964	0.295531189	0.876427743	0.2435801	0.223847285	0.474248578	0.969199753	0.139881493	0.278634983	0.860115694	0.485938505	0.509488468
