ID	Gene	Group	score	bd.score
1	TXNIP	Tumor1	1.147811831	1
2	FCMR	Tumor1	1.066368668	1
3	SELL	Tumor1	0.369472742	0.369472742
4	BANK1	Tumor1	1.154700538	1
5	CCND2	Tumor1	1.154579458	1
6	PSME2	Tumor1	1.069602532	1
7	BHLHE40	Tumor1	0.414780678	0.414780678
8	PARVB	Tumor1	0.92717265	0.92717265
9	EBI3	Tumor1	1.154700538	1
10	BCL2A1	Tumor1	1.154700538	1
11	PRPSAP2	Tumor1	0.577350269	0.577350269
12	SERPINA9	Tumor1	0	0
13	CD27	Tumor1	0.991962071	0.991962071
14	CD38	Tumor1	1.154700538	1
15	BCL6	Tumor1	1.089962286	1
16	EZR	Tumor1	1.153656303	1
17	ISG20	Tumor1	1.095191167	1
18	AICDA	Tumor1	0	0
19	FRZB	Tumor1	-0.577350269	-0.577350269
20	HOPX	Tumor1	-0.132861754	-0.132861754
21	BTNL9	Tumor1	1.154700538	1
22	FGFR1	Tumor1	1.065293662	1
23	IGHVDJsum	Tumor1	0.95534102	0.95534102
24	JCHAIN	Tumor1	0.37218291	0.37218291
25	PRDM1	Tumor1	1.154700538	1
26	MZB1	Tumor1	0.888766425	0.888766425
27	SSR4	Tumor1	0.853508139	0.853508139
28	SLAMF7	Tumor1	1	1
29	IGHG2	Tumor1	0.999555347	0.999555347
30	TNFRSF17	Tumor1	1.109400392	1
31	JSRP1	Tumor1	0	0
32	IGLV6-57	Tumor1	1.141324625	1
33	IGLV3-1	Tumor1	0.764916442	0.764916442
34	IGLC7	Tumor1	0.190365291	0.190365291
35	DERL3	Tumor1	1.113312844	1
36	IGHA2	Tumor1	0	0
37	GPR183	Tumor1	-0.577350269	-0.577350269
38	CD44	Tumor1	0.436069752	0.436069752
39	TNFRSF13B	Tumor1	1.154700538	1
40	VIM	Tumor1	1.148098843	1
41	FCRL4	Tumor1	0	0
42	CCR1	Tumor1	0.92717265	0.92717265
43	ITGAX	Tumor1	0	0
44	EGR1	Tumor1	0.772654965	0.772654965
45	CD69	Tumor1	1.154700538	1
46	TXNIP	Tumor2	-0.682974702	-0.682974702
47	FCMR	Tumor2	-0.149591583	-0.149591583
48	SELL	Tumor2	0.762690365	0.762690365
49	BANK1	Tumor2	-0.577350269	-0.577350269
50	CCND2	Tumor2	-0.562808509	-0.562808509
51	PSME2	Tumor2	-0.158021733	-0.158021733
52	BHLHE40	Tumor2	-1.140646864	-1
53	PARVB	Tumor2	-1.059625886	-1
54	EBI3	Tumor2	-0.577350269	-0.577350269
55	BCL2A1	Tumor2	-0.577350269	-0.577350269
56	PRPSAP2	Tumor2	0.577350269	0.577350269
57	SERPINA9	Tumor2	0	0
58	CD27	Tumor2	0.015886562	0.015886562
59	CD38	Tumor2	-0.577350269	-0.577350269
