ID	Gene	Group	score	bd.score
1	TXNIP	nTLS	-0.898501611	-0.898501611
2	FCMR	nTLS	-0.86796687	-0.86796687
3	SELL	nTLS	-1.084505189	-1
4	BANK1	nTLS	-1.093515734	-1
5	CCND2	nTLS	-1.344061421	-1
6	PSME2	nTLS	-0.907188715	-0.907188715
7	BHLHE40	nTLS	-1.449203367	-1
8	PARVB	nTLS	-0.094923372	-0.094923372
9	EBI3	nTLS	-1.009528553	-1
10	BCL2A1	nTLS	-0.916518541	-0.916518541
11	PRPSAP2	nTLS	-0.48831699	-0.48831699
12	SERPINA9	nTLS	-0.346191807	-0.346191807
13	CD27	nTLS	-0.924006121	-0.924006121
14	CD38	nTLS	-0.671307209	-0.671307209
15	BCL6	nTLS	-0.209372641	-0.209372641
16	EZR	nTLS	0.123482447	0.123482447
17	ISG20	nTLS	-1.246933624	-1
18	AICDA	nTLS	-0.763626228	-0.763626228
19	FRZB	nTLS	-0.411954846	-0.411954846
20	HOPX	nTLS	-0.787136536	-0.787136536
21	BTNL9	nTLS	0	0
22	FGFR1	nTLS	0.126087435	0.126087435
23	IGHVDJsum	nTLS	-0.112926735	-0.112926735
24	JCHAIN	nTLS	-0.222817096	-0.222817096
25	PRDM1	nTLS	0.399608694	0.399608694
26	MZB1	nTLS	-1.264027749	-1
27	SSR4	nTLS	-0.355905733	-0.355905733
28	SLAMF7	nTLS	-0.304037211	-0.304037211
29	IGHG2	nTLS	-0.910058126	-0.910058126
30	TNFRSF17	nTLS	-0.734732397	-0.734732397
31	JSRP1	nTLS	0.050785571	0.050785571
32	IGLV6-57	nTLS	-0.739677888	-0.739677888
33	IGLV3-1	nTLS	-1.391548861	-1
34	IGLC7	nTLS	0	0
35	DERL3	nTLS	-0.591565993	-0.591565993
36	IGHA2	nTLS	-0.858554495	-0.858554495
37	GPR183	nTLS	-1.023951111	-1
38	CD44	nTLS	-1.225185918	-1
39	TNFRSF13B	nTLS	-0.763610365	-0.763610365
40	VIM	nTLS	-0.241716635	-0.241716635
41	FCRL4	nTLS	-0.447213595	-0.447213595
42	CCR1	nTLS	-0.386194522	-0.386194522
43	ITGAX	nTLS	-1.274598591	-1
44	EGR1	nTLS	-0.517007827	-0.517007827
45	CD69	nTLS	-0.680423818	-0.680423818
91	TXNIP	eTLS	1.357968825	1
92	FCMR	eTLS	0.427323569	0.427323569
93	SELL	eTLS	0.801896382	0.801896382
94	BANK1	eTLS	0.288697957	0.288697957
95	CCND2	eTLS	1.105603539	1
96	PSME2	eTLS	1.610327532	1
97	BHLHE40	eTLS	1.165911651	1
98	PARVB	eTLS	0.191139266	0.191139266
99	EBI3	eTLS	0.085815018	0.085815018
100	BCL2A1	eTLS	-0.234764309	-0.234764309
101	PRPSAP2	eTLS	-0.127353548	-0.127353548
102	SERPINA9	eTLS	-0.758470815	-0.758470815
103	CD27	eTLS	-0.064643114	-0.064643114
104	CD38	eTLS	0.450139595	0.450139595
105	BCL6	eTLS	-0.068282974	-0.068282974
106	EZR	eTLS	-0.777643367	-0.777643367
107	ISG20	eTLS	-0.320533747	-0.320533747
108	AICDA	eTLS	-0.293872439	-0.293872439
109	FRZB	eTLS	-0.664951281	-0.664951281
110	HOPX	eTLS	0.405601531	0.405601531
111	BTNL9	eTLS	0	0
112	FGFR1	eTLS	-0.480813666	-0.480813666
113	IGHVDJsum	eTLS	1.283377748	1
114	JCHAIN	eTLS	0.567280949	0.567280949
115	PRDM1	eTLS	0.756869608	0.756869608
116	MZB1	eTLS	0.033760146	0.033760146
117	SSR4	eTLS	0.998732684	0.998732684
118	SLAMF7	eTLS	0.952713132	0.952713132
119	IGHG2	eTLS	0.459878798	0.459878798
120	TNFRSF17	eTLS	-0.477265778	-0.477265778
121	JSRP1	eTLS	-0.264489667	-0.264489667
122	IGLV6-57	eTLS	-0.157062114	-0.157062114
123	IGLV3-1	eTLS	-0.726678582	-0.726678582
124	IGLC7	eTLS	0	0
125	DERL3	eTLS	-0.176979842	-0.176979842
126	IGHA2	eTLS	0.265799383	0.265799383
127	GPR183	eTLS	-1.023951111	-1
128	CD44	eTLS	0.744480004	0.744480004
129	TNFRSF13B	eTLS	0.146359859	0.146359859
130	VIM	eTLS	1.528572022	1
131	FCRL4	eTLS	1.788854382	1
132	CCR1	eTLS	-0.212713936	-0.212713936
133	ITGAX	eTLS	1.385736294	1
134	EGR1	eTLS	1.440069094	1
135	CD69	eTLS	1.064047661	1
136	TXNIP	mTLSm	0.7681475	0.7681475
137	FCMR	mTLSm	1.507074487	1
138	SELL	mTLSm	1.282697775	1
139	BANK1	mTLSm	1.546508867	1
140	CCND2	mTLSm	0.680468285	0.680468285
141	PSME2	mTLSm	-0.360600673	-0.360600673
142	BHLHE40	mTLSm	0.41223625	0.41223625
143	PARVB	mTLSm	0.185137779	0.185137779
144	EBI3	mTLSm	1.173535877	1
145	BCL2A1	mTLSm	0.781936461	0.781936461
146	PRPSAP2	mTLSm	-0.130183006	-0.130183006
147	SERPINA9	mTLSm	0.226597863	0.226597863
148	CD27	mTLSm	1.043078213	1
149	CD38	mTLSm	1.563782031	1
150	BCL6	mTLSm	-0.495100194	-0.495100194
151	EZR	mTLSm	-0.68190592	-0.68190592
152	ISG20	mTLSm	1.060579961	1
153	AICDA	mTLSm	0.172612241	0.172612241
154	FRZB	mTLSm	1.22001619	1
155	HOPX	mTLSm	-1.058536979	-1
156	BTNL9	mTLSm	0	0
157	FGFR1	mTLSm	0.238611047	0.238611047
158	IGHVDJsum	mTLSm	-0.723036658	-0.723036658
