Subject Identifier	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68
T cells	4.62	2.83	2.166	4.72	1.63	2.726	2.59	3.33	1.786	4.664	4.318	1.342	0.31	4.356	2.61	0.388	5.26	5.49	2.902	4.554	4.368	4.57	3.166	4.022	5.762	3.178	6.242	3.338	3.29	3.594	4.044	2.78	3.25	5.504	3.416	5.058	1.138	5.656	3.77	1.932	5.688	3.334	3.792	5.444	1.64	4.028	1.698	5.112	4.364	1.252	6.58	4.51	7.07	0	2.406	3.88	4.54	5.084	4.288	5.926	6.586	4.06	4.734	3.448	0.78	2.864	1.256	5.72
CD8 T cells	4.62	4.535	1.405	4.72	3.055	3.89	2.59	3.33	2.26	3.06	4.695	3.16	1.71	4.28	2.61	0	6.56	6.595	2.29	6.28	4.07	4.42	3.575	3.845	6.2	5.85	6.155	4.875	3.29	3.54	5.305	3.38	4.53	5.5	3.985	5.485	4.11	5.375	3.21	3.055	6.175	4.955	5.78	5.915	4.69	3.17	3.83	6.28	3.745	2.75	6.58	4.51	6.34	2.63	3.47	5.255	5.04	4.625	4.335	6.905	5.71	4.52	7.415	4.045	1.565	3.535	3.095	5.09
Cytotoxic cells	5.734444444	2.984444444	1.776666667	4.902222222	2.286666667	3.314444444	3	3.512222222	3.256666667	3.886666667	4.606666667	3.15	0.876666667	2.893333333	3.381111111	1.561111111	6.436666667	5.945555556	2.794444444	4.521111111	4.417777778	4.667777778	3.475555556	3.976666667	6.452222222	3.35	6.207777778	4.358888889	3.563333333	3.673333333	4.218888889	3.413333333	3.505555556	4.611111111	4.525555556	6.71	3.754444444	5.614444444	3.765555556	3.763333333	5.714444444	4.33	4.986666667	6.004444444	1.863333333	3.543333333	2.842222222	5.254444444	3.863333333	1.78	6.82	4.653333333	7.008888889	0.192222222	3.085555556	3.871111111	4.651111111	4.931111111	5.541111111	5.98	6.134444444	4.306666667	3.862222222	2.661111111	2.171111111	3.921111111	1.076666667	4.184444444
B-cells	4.62	3.1775	1.355	5.26	3.695	1.71	3.5275	4.965	2.255	3.06	3.9825	1.46	2.375	3.0925	3.32	1.5075	4.9425	5.585	2.7075	3.5675	4.07	5.535	2.995	3.015	4.79	2.235	3.22	3.795	4.56	3.4375	4.2675	4.3825	3.25	3.035	2.6575	3.52	1.7575	4.69	2.0775	1.5925	5.1775	4.595	2.6625	3.9375	1.145	3.5575	2.33	6.235	2.9625	2.055	6.58	6.205	5.3825	0.5475	1.675	3.9825	2.5525	3.3875	1.8	5.6325	6.3625	2.8375	1.405	1.535	3.15	2.1875	2.1775	4.14
NK cells	4.62	3.005	0.9775	5.31	1.63	1.1025	2.59	3.33	0.76	3.06	3.4	0	0.31	1.695	3.0325	0	2.0825	4.8725	2.725	2.8475	4.07	4.42	2.3	2.0075	3.3225	1.11	2.02	2.57	3.29	1.83	3.65	3.305	4.1125	1.4075	1.1825	2.185	0.31	2.3475	1.41	0	1.9425	0.8125	2.02	1.605	0	2.4475	1.29	1.395	1.855	0.045	6.58	4.51	2.635	0	0	2.84	0.6275	1.4725	2.095	6.0075	5.71	1.2675	0.98	0.2125	0.72	0.7425	0.61	1.645
NK CD56dim cells	5.615	3.18	1.6	5.9	3.515	4.69	4.17	4.15	3.055	4.44	3.9	1.095	1.89	1.14	4.495	3.835	4.595	5.9	4.495	3.73	4.07	5.675	2.3	3.125	3.615	1.11	4.215	3.45	3.95	3.635	5.045	3.98	4.745	3.13	2.085	4.995	2.015	5.025	0.76	3.225	4.175	3.58	3.425	3.235	0	1.66	2.04	4.715	3.365	1.93	6.58	6.44	4.47	1.03	1.75	4.07	3.79	3.935	4.6	7.95	7.565	1.7	2.11	0.225	2.675	1.47	1.245	3.68
DC	5.616666667	2.83	3.21	5.506666667	3.26	2.323333333	2.59	4.393333333	4.446666667	3.553333333	4.553333333	3.743333333	1.816666667	4.27	2.703333333	3.883333333	5.296666667	7.45	4.026666667	5.923333333	4.07	4.42	3.903333333	4.26	5.923333333	4.486666667	5.053333333	4.66	3.29	3.77	4.88	3.18	5.206666667	4.443333333	7.21	3.786666667	4.266666667	4.853333333	5.163333333	4.743333333	5.17	4.386666667	4.31	5.1	3.023333333	4.756666667	2.24	4.416666667	6.353333333	2.48	6.58	5.326666667	5.893333333	1.81	5.18	2.84	3.33	5.45	4.343333333	6.383333333	5.71	6.256666667	4.813333333	4.083333333	2.39	2.883333333	1.926666667	3.01
Mast cells	4.62	2.83	1.405	4.72	4.2	2.9	3.37	3.33	3.285	3.06	5.485	0.275	1.3	4.405	2.61	0.66	7.57	7.025	5.055	5.76	4.815	4.42	3.275	3.83	5.55	3.005	7.345	5.415	3.29	5.5	4.8	3.38	3.25	1.915	4.6	1.63	4.185	2.945	2.865	3.745	3.815	2.17	3.405	2.88	2.525	3.06	2.585	3.675	4.195	1.595	6.58	4.775	7.37	0.51	2.905	5.205	3.45	3.22	4.66	6.62	5.77	6.01	1.92	2.275	4.67	3.245	2.145	3.92
Th1 cells	7.61	6.6	0.55	9.19	1.91	3.88	6.04	6.35	4.76	6.19	6.57	3.51	3.62	2.94	2.89	3.77	5.04	3.89	2.29	4.72	6	4.42	5.45	3.63	5.13	3.39	4.69	5.64	6.38	5.26	3.65	5.18	5.81	4.68	2.44	4.61	3.53	4.89	2.96	2.6	4.74	4.64	4.15	4.63	0	4.03	3.64	4.5	4.18	0.94	6.58	8.15	6.05	2.83	3.71	4.65	4.13	3.98	3.07	8.21	9.04	4.03	4	3.32	5.05	3.76	4.12	4.95
T cell activation	6.574	5.156	5.762	5.552	4.494	6.846	4.008	4.574	6.654	5.302	6.564	4.046	4.234	6.798	5.364	4.632	7.204	9.244	5.22	7.346	6.174	5.624	7.534	8.212	7.968	6.136	7.758	5.676	4.816	5.478	5.744	4.832	4.906	7.722	4.734	7.458	5.352	7.928	6.112	5.592	7.512	6.296	5.524	7.196	4.336	6.876	3.87	7.216	7.292	4.096	7.436	5.282	8.582	2.54	6.612	5.646	6.36	7.558	6.61	7.084	6.474	5.31	6.814	5.616	4.502	6.684	5.456	7.366
